Date,Open,High,Low,Close,Volume
12/16/2021,"313.00","313.40","285.80","286.05","17,626"
12/15/2021,"300.65","315.00","300.65","300.80","36,679"
12/14/2021,"337.00","338.10","316.45","316.45","17,515"
12/13/2021,"332.65","334.10","320.00","333.10","84,893"
12/10/2021,"313.90","318.20","312.65","318.20","33,102"
12/09/2021,"302.80","303.05","285.55","303.05","41,765"
12/08/2021,"284.95","288.65","280.20","288.65","14,552"
12/07/2021,"270.90","274.95","252.60","274.95","13,100"
12/06/2021,"286.85","286.85","260.95","261.90","53,419"
12/03/2021,"272.80","274.65","269.35","274.65","33,956"
12/02/2021,"254.95","261.60","253.00","261.60","102,514"
12/01/2021,"240.70","250.00","235.00","249.15","10,900"
11/30/2021,"231.75","245.05","231.75","238.10","6,516"
11/29/2021,"250.00","255.70","233.40","233.40","21,722"
11/26/2021,"245.00","246.30","234.60","245.65","27,858"
11/25/2021,"234.00","234.60","230.80","234.60","12,930"
11/24/2021,"218.85","223.45","218.85","223.45","906"
11/23/2021,"206.05","212.85","203.85","212.85","2,593"
11/22/2021,"213.45","213.50","201.10","202.75","6,604"
11/18/2021,"210.00","212.20","198.50","210.20","32,458"
11/17/2021,"219.00","219.00","205.00","207.10","9,728"
11/16/2021,"216.00","217.45","210.00","213.00","36,018"
11/15/2021,"202.75","207.10","195.05","207.10","19,380"
11/12/2021,"200.00","206.25","192.80","197.25","9,121"
11/11/2021,"216.00","216.30","198.80","202.20","26,402"
11/10/2021,"203.00","206.00","200.95","206.00","33,549"
11/09/2021,"185.00","196.20","184.30","196.20","4,303"
11/08/2021,"200.00","203.80","185.70","186.90","15,804"
11/04/2021,"195.00","195.35","190.85","194.15","11,442"
11/03/2021,"184.50","186.05","184.40","186.05","5,764"
11/02/2021,"172.20","177.25","172.20","177.20","28,440"
11/01/2021,"159.95","168.85","155.85","168.85","3,531"
10/29/2021,"171.85","171.85","160.85","160.85","44,884"
10/28/2021,"175.90","176.80","166.50","169.30","37,747"
10/27/2021,"157.85","163.40","144.90","163.40","35,424"
10/26/2021,"137.35","148.55","137.35","148.55","12,916"
10/25/2021,"133.85","136.00","130.95","135.05","2,297"
10/22/2021,"136.80","136.80","130.00","131.90","4,179"
10/21/2021,"132.65","135.95","130.00","134.40","1,750"
10/20/2021,"129.10","134.85","129.05","132.50","2,261"
10/19/2021,"142.00","142.05","131.00","132.90","6,494"
10/18/2021,"147.00","147.00","139.65","141.50","5,225"
10/14/2021,"145.25","146.00","141.40","143.35","2,221"
10/13/2021,"134.00","146.85","134.00","143.45","18,286"
10/12/2021,"150.00","150.00","137.40","139.75","30,002"
10/11/2021,"140.75","150.70","140.70","145.75","113,204"
10/08/2021,"141.00","141.10","136.65","137.00","23,914"
10/07/2021,"134.00","134.00","127.95","128.85","7,840"
10/06/2021,"138.00","138.00","127.85","128.60","12,885"
10/05/2021,"138.70","139.60","132.00","133.50","29,381"
10/04/2021,"131.00","135.50","131.00","135.50","12,829"
10/01/2021,"127.30","130.60","126.95","129.05","2,116"
09/30/2021,"131.20","133.00","127.00","128.45","4,155"
09/29/2021,"132.60","135.30","129.35","132.10","9,178"
09/28/2021,"131.95","136.40","130.85","132.95","19,027"
09/27/2021,"128.35","132.75","127.55","131.65","2,460"
09/24/2021,"138.00","138.00","130.90","132.60","15,366"
09/23/2021,"131.65","134.00","129.35","133.00","7,751"
09/22/2021,"134.60","134.60","125.50","127.65","78,270"
09/21/2021,"139.85","139.85","130.55","130.85","18,309"
09/20/2021,"137.50","140.80","136.45","137.40","18,931"
09/17/2021,"141.00","141.15","132.20","134.10","46,945"
09/16/2021,"138.65","138.65","135.10","138.65","149,275"
09/15/2021,"130.00","132.05","129.45","132.05","17,469"
09/14/2021,"121.35","125.90","119.90","125.80","59,577"
09/13/2021,"120.05","121.70","118.80","119.95","5,249"
09/09/2021,"124.50","124.70","119.05","120.20","3,378"
09/08/2021,"122.80","122.80","120.30","121.75","3,042"
